process	task_id	hash	native_id	module	container	tag	name	status	exit	submit	start	complete	duration	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	attempt	workdir	scratch	queue	cpus	memory	disk	time	env
readStats	10	a4/a4681d	180358	-	-	-	readStats (3)	CACHED	0	1693502170905	1693502171091	1693502199558	28653	34	88.9	0.0	3149824	8835072	3149824	8835072	398388	195546	311	35	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/a4/a4681d963794e2c81f54dd50ae788f	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

readStats	8	a5/00ad9b	180174	-	-	-	readStats (2)	CACHED	0	1693502151477	1693502151526	1693502171025	19548	35	84.2	0.0	3178496	8835072	3178496	8835072	398153	195550	313	35	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/a5/00ad9b5db6511171dfe848cbefdb61	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

trimBothEnds	16	f4/a79fd4	180503	-	-	-	trimBothEnds (4)	CACHED	0	1693502193807	1693502193873	1693502261996	68189	159	80.0	0.0	3207168	8835072	3207168	8835072	450230	257089	317	61	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/f4/a79fd4e5d9b98c24c1726e006b692e	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

trimBothEnds	1	cd/b5d4e3	182102	-	-	-	trimBothEnds (1)	CACHED	0	1693502262896	1693502263054	1693502348221	85325	88	111.4	0.0	3186688	8835072	3186688	8835072	448136	256808	317	107	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/cd/b5d4e35dfefcb29a2bac868d1e6491	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

trimBothEnds	15	6d/286f5f	180625	-	-	-	trimBothEnds (3)	CACHED	0	1693502199600	1693502199658	1693502262870	63270	111	92.3	0.0	3096576	8835072	3096576	8835072	450318	256931	317	49	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/6d/286f5ff3040d8f14e34a9f2c1bd5fe	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

readStats	11	18/c4d53c	180170	-	-	-	readStats (4)	CACHED	0	1693502151447	1693502151507	1693502170876	19429	47	49.0	0.0	3280896	8835072	3280896	8835072	398622	195538	311	35	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/18/c4d53cead8dc77040a026a67c4c3de	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

readStats	7	3f/019fbd	180179	-	-	-	readStats (1)	CACHED	0	1693502151508	1693502151604	1693502193772	42264	73	33.8	0.0	3121152	8835072	3121152	8835072	397967	195596	311	35	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/3f/019fbd344e587d96a6754ce64525e4	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

trimBothEnds	13	a8/da8906	181349	-	-	-	trimBothEnds (2)	CACHED	0	1693502246610	1693502246687	1693502324124	77514	91	100.0	0.0	3149824	8835072	3149824	8835072	449268	256958	317	77	0	0	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/a8/da8906620aa6b270cd52d9d7e72b68	-	-	1	2147483648	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

fastqc	5	7f/eeae3f	183305	-	-	-	fastqc (4)	CACHED	0	1693502329587	1693502329679	1693502425114	95527	4500	104.8	2.8	232005632	5326495744	232067072	5388292096	11749319	1946126	5629	6967	0	1089536	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/7f/eeae3fdbc6183d058d205962363746	-	-	4	3221225472	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

fastqc	4	dd/e2235e	185518	-	-	-	fastqc (3)	CACHED	0	1693502425135	1693502425214	1693502534724	109589	4473	151.5	3.1	261488640	5326495744	261570560	5388292096	11762870	1972258	5660	7011	0	1097728	1	/mnt/c/RSYNC/Repositories/crispr-seq/work/dd/e2235e97f5e12a076f0800aecde46e	-	-	4	3221225472	-	7200000	PATH=$PATH:/mnt/c/RSYNC/Repositories/crispr-seq/bin

